iter	RMSE
0	0.9626388537
1	0.9243164862
2	0.8973870356
3	0.8698164298
4	0.8504521151
5	0.8339960764
6	0.8153933985
7	0.8003284404
8	0.7901487417
9	0.780352701
10	0.7726428185
11	0.7624206894
12	0.7565213973
13	0.7491286639
14	0.7418851164
15	0.7355628232
16	0.7311649467
17	0.7276604792
18	0.7239058153
19	0.7191356008
20	0.7151382524
21	0.7126092201
22	0.7106664178
23	0.7062049599
24	0.7033630755
25	0.7008763193
26	0.6992784723
27	0.6978218153
28	0.6949473309
29	0.6932646256
30	0.6914051407
31	0.6897800677
32	0.6882936332
33	0.6874904907
34	0.6868496598
35	0.6863151309
36	0.6850153198
37	0.6834230259
38	0.6820227189
39	0.6809384585
40	0.6801852637
41	0.679350243
42	0.6777133267
43	0.6771519023
44	0.6769030592
45	0.6758322772
46	0.6748977829
47	0.6742909908
48	0.6740100019
49	0.6734152725
50	0.6728956656
51	0.6722423882
52	0.6713421364
53	0.6706741743
54	0.6700903338
55	0.6691951863
56	0.6687289649
57	0.6680210533
58	0.6674314884
59	0.6666505973
60	0.6659075397
61	0.6656872076
62	0.6653043121
63	0.6644693593
64	0.6641800602
65	0.6638271364
66	0.6636058151
67	0.6631428563
68	0.6630157911
69	0.6626898104
70	0.6626024468
71	0.662458818
72	0.6620556059
73	0.6615996964
74	0.6613449694
75	0.6611815368
76	0.6605790645
77	0.6602649509
78	0.6599209637
79	0.6593859867
80	0.6591364282
81	0.6585549737
82	0.6579405223
83	0.6575366222
84	0.6574276883
85	0.6570404391
86	0.6565042931
87	0.6561470157
88	0.6558379949
89	0.6555548479
90	0.6548974502
91	0.6544944444
92	0.6543956184
93	0.6540935088
94	0.6539511112
95	0.6538851367
96	0.6535261628
97	0.653379499
98	0.6530018527
99	0.6529701469
100	0.6524899422
101	0.6523725724
102	0.6520606015
103	0.6517630216
104	0.6515629239
105	0.6515197216
106	0.6513090792
107	0.6510043154
108	0.6508308121
109	0.6504702959
110	0.6499965931
111	0.6499268886
112	0.6496429975
113	0.6495624095
114	0.6493379262
115	0.6491059187
116	0.6490406717
117	0.6489324338
118	0.6488384665
119	0.6485645738
120	0.6482985554
121	0.6481972252
122	0.6479660773
123	0.6478697535
124	0.6477124049
125	0.64754963
126	0.6473092845
127	0.6472527228
128	0.6471168796
129	0.6469572585
130	0.6467482488
131	0.6465977836
132	0.6464987856
133	0.6461357815
134	0.6460881296
135	0.6458729918
136	0.6457207992
137	0.645626571
138	0.6453720448
139	0.645286784
140	0.6451808466
141	0.645003345
142	0.6449171012
143	0.6448577334
144	0.6447176898
145	0.6445029909
146	0.6444650674
147	0.6443692778
148	0.6443013441
149	0.6440318525
150	0.6437170305
151	0.6436548869
152	0.6435065612
153	0.643432553
154	0.6432660172
155	0.6431130699
156	0.6430080911
157	0.6428063948
158	0.6426646774
159	0.6425685887
160	0.6424043517
161	0.6423483335
162	0.6421512876
163	0.642078744
164	0.6418855962
165	0.6417214258
166	0.641637369
167	0.6414465318
168	0.6413513955
169	0.6412749114
170	0.6410986218
171	0.6409568528
172	0.6408626833
173	0.6407995143
174	0.6407044779
175	0.6405233868
176	0.640365127
177	0.6402601824
178	0.6401996237
179	0.6401206652
180	0.6399987759
181	0.6399070665
182	0.6398450412
183	0.6397432998
184	0.6394533412
185	0.6393080426
186	0.6392604096
187	0.6391075341
188	0.6389231572
189	0.6388519538
190	0.6387035618
191	0.6385672132
192	0.6384842236
193	0.6383981885
194	0.6382909522
195	0.6382212394
196	0.6381225651
197	0.6380502971
198	0.6379157898
199	0.6377927868
200	0.6377450705
201	0.6377055343
202	0.6376446368
203	0.6374657067
204	0.637358004
205	0.6373338335
206	0.6372477973
207	0.63713033
208	0.6369411813
209	0.636885483
210	0.636803037
211	0.6367548903
212	0.6366783422
213	0.6366052915
214	0.6365654577
215	0.6364572212
216	0.6364279798
217	0.6363893109
218	0.6363166699
219	0.6361009562
220	0.6360406025
221	0.6360025987
222	0.6359487679
223	0.6358908411
224	0.635862763
225	0.6358137776
226	0.6357304771
227	0.6356680069
228	0.6356296711
229	0.6354808043
230	0.6354019983
231	0.6353694565
232	0.6353483539
233	0.6353317092
234	0.6352295623
235	0.6352172539
236	0.6351510282
237	0.6350890049
238	0.6350705675
239	0.6348463955
240	0.6347568458
241	0.6346811254
242	0.6346150236
243	0.6344201355
244	0.6343390366
245	0.6342255537
246	0.634135088
247	0.6340227072
248	0.6339823562
249	0.6338973819
250	0.6338430376
251	0.6337186837
252	0.6336629156
253	0.6336370905
254	0.6334400467
255	0.6333895596
256	0.6333004739
257	0.633263044
258	0.6331666138
259	0.6331464906
260	0.6330869654
261	0.633054069
262	0.6329564909
263	0.6328865259
264	0.6327976617
265	0.6327751997
266	0.6327316042
267	0.6326883949
268	0.6326454401
269	0.6326218366
270	0.6324583633
271	0.6323757957
272	0.6322778044
273	0.6322400125
274	0.6321717245
275	0.6321001441
276	0.6320192967
277	0.6320047532
278	0.6319675257
279	0.6318516593
280	0.6318030113
281	0.6317214669
282	0.6316817997
283	0.6316734419
284	0.6316568386
285	0.6316326697
286	0.6316181999
287	0.6315899564
288	0.6315751087
289	0.6315589062
290	0.6315187614
291	0.6314001759
292	0.6313549632
293	0.6312980088
294	0.6311248319
295	0.6310459162
296	0.6309630681
297	0.6309483281
298	0.6309343958
299	0.6309146689
300	0.6309023836
301	0.6308712284
302	0.63081296
303	0.6307907937
304	0.6307496382
305	0.6306306632
306	0.6305928743
307	0.6305698735
308	0.6305439931
309	0.6304856206
310	0.6304357679
311	0.6304052542
312	0.6303793872
313	0.6303577269
314	0.6303068538
315	0.6302634022
316	0.6302011073
317	0.6301436192
318	0.6301290529
319	0.6300781116
320	0.6300524002
321	0.6299651511
322	0.6298100081
323	0.6297514493
324	0.6296390123
325	0.6295547128
326	0.6295452834
327	0.6295233123
328	0.6295047589
329	0.6294791994
330	0.6294113254
331	0.6293240936
332	0.6293158351
333	0.6292935611
334	0.6292805114
335	0.6292643212
336	0.6292178289
337	0.6291641975
338	0.6291289868
339	0.6290731403
340	0.6290589975
341	0.6290188514
342	0.628968851
343	0.6289275548
344	0.6289065206
345	0.6288418791
346	0.6286900746
347	0.6286661022
348	0.6286475654
349	0.628608161
350	0.6285545945
351	0.6284531181
352	0.6283928205
353	0.6282947596
354	0.6282691606
355	0.6282568211
356	0.6282509583
357	0.6282050473
358	0.6281886332
359	0.6281484868
360	0.6280661934
361	0.6280476161
362	0.6280183214
363	0.6279897592
364	0.6279641459
365	0.6279311123
366	0.6279068201
367	0.627886341
368	0.6278503229
369	0.6277692222
370	0.6276899525
371	0.6276593996
372	0.6276350822
373	0.6275802161
374	0.6275458186
375	0.6275064288
376	0.627468571
377	0.6274340477
378	0.6274302953
379	0.6274220177
380	0.6273725613
381	0.627363149
382	0.6273501495
383	0.6273243699
384	0.6273064729
385	0.6272759184
386	0.6272351398
387	0.6271145896
388	0.62704403
389	0.6270041277
390	0.6269894697
391	0.626890887
392	0.6267645206
393	0.6267453383
394	0.6267155683
395	0.6267008831
396	0.6266900725
397	0.6266137804
398	0.6265623395
399	0.626545582
400	0.6265184553
401	0.6264877936
402	0.6264145436
403	0.6264034025
404	0.6264003027
405	0.6263835102
406	0.6263491338
407	0.6263172699
408	0.6263083006
409	0.6262683052
410	0.6262520949
411	0.6262247675
412	0.6261817087
413	0.6261046179
414	0.626068252
415	0.6260502538
416	0.6260136713
417	0.6259961413
418	0.625920907
419	0.6259062701
420	0.625902354
421	0.6258734882
422	0.6258363896
423	0.6257380731
424	0.6256537278
425	0.6256254709
426	0.6256093343
427	0.6256015049
428	0.6256015016
429	0.6255817028
430	0.6255600863
431	0.6255490292
432	0.6255429533
433	0.6255168748
434	0.6254885443
435	0.625473018
436	0.6254491885
437	0.6253636199
438	0.6253304325
439	0.6252636235
440	0.6252177985
441	0.6252110904
442	0.6251943468
443	0.6251751313
444	0.6251616913
445	0.6251498583
446	0.6251322061
447	0.6251168207
448	0.625031595
449	0.6250147387
450	0.6249869902
451	0.6249648482
452	0.6248957181
453	0.6248763046
454	0.6248312101
455	0.6248078968
456	0.6247845867
457	0.6247813927
458	0.6247442711
459	0.6247426093
460	0.6247293438
461	0.6247180332
462	0.6247044648
463	0.6246750842
464	0.6246733776
465	0.6246531541
466	0.6245413578
467	0.6245042128
468	0.6244956638
469	0.6244834913
470	0.6244608141
471	0.6244353947
472	0.6244198972
473	0.6243907011
474	0.6243531445
475	0.624333289
476	0.6242972322
477	0.624278762
478	0.6242415155
479	0.6241918845
480	0.6241887881
481	0.6241727133
482	0.6241442988
483	0.6241170134
484	0.624112099
485	0.6241012629
486	0.6240760363
487	0.6240045853
488	0.6239991743
489	0.6239682569
490	0.6239455324
491	0.6239173409
492	0.623881651
493	0.6238609761
494	0.6238539778
495	0.6237587628
496	0.6237587609
497	0.6237372673
498	0.6237164946
499	0.6237102468
500	0.6237022569
501	0.6236841695
502	0.6236624661
503	0.623640523
504	0.6236344472
505	0.6236161808
506	0.6236077809
507	0.6235845984
