iter	Passed	Remaining
0	151	1519136
1	158	791581
2	164	548795
3	169	424719
4	175	350160
5	181	302144
6	187	267324
7	193	241748
8	198	220904
9	204	203951
10	210	191043
11	215	179681
12	220	169608
13	227	162364
14	232	154924
15	238	148685
16	250	147008
17	257	142713
18	263	138159
19	268	133781
20	274	130493
21	279	126892
22	285	123637
23	291	121127
24	296	118477
25	303	116378
26	309	114200
27	314	111972
28	321	110657
29	326	108665
30	331	106726
31	342	106560
32	347	105056
33	354	103958
34	360	102499
35	366	101527
36	375	101159
37	383	100636
38	390	99777
39	397	99041
40	403	97972
41	408	96859
42	415	96199
43	420	95178
44	425	94168
45	432	93647
46	437	92708
47	442	91802
48	448	91100
49	453	90286
50	459	89555
51	465	88969
52	470	88357
53	476	87838
54	483	87461
55	489	86908
56	495	86491
57	501	85913
58	506	85267
59	511	84792
60	517	84247
61	522	83692
62	528	83337
63	534	83019
64	540	82643
65	546	82238
66	551	81742
67	556	81348
68	562	80936
69	567	80487
70	573	80188
71	581	80122
72	586	79741
73	593	79549
74	598	79191
75	604	78893
76	609	78581
77	614	78207
78	621	78014
79	626	77693
80	632	77404
81	638	77279
82	644	76963
83	649	76678
84	655	76406
85	659	76063
86	668	76124
87	675	76105
88	681	75845
89	687	75739
90	693	75496
91	699	75284
92	704	75098
93	710	74859
94	716	74718
95	722	74500
96	727	74255
97	733	74106
98	738	73905
99	743	73614
100	750	73602
101	755	73315
102	761	73194
103	768	73120
104	773	72882
105	779	72757
106	787	72830
107	795	72861
108	801	72766
109	807	72583
110	814	72562
111	819	72313
112	825	72264
113	831	72071
114	837	71977
115	844	71992
116	851	71918
117	858	71881
118	865	71827
119	871	71752
120	880	71882
121	885	71714
122	894	71858
123	899	71678
124	908	71776
125	914	71700
126	920	71540
127	927	71546
128	933	71428
129	941	71466
130	946	71321
131	952	71210
132	961	71304
133	966	71153
134	975	71293
135	981	71213
136	992	71424
137	997	71299
138	1007	71491
139	1012	71341
